,Nodes,Edges,NetX (numpy),NetX (scipy),iGraph,fast pagerank_power
0,40,340,0.0013638909986184444,0.0016426900001533795,3.5122997360304e-05,0.0008199760013667401
1,102,1352,0.011934948997804895,0.00464000400097575,0.00016852800035849214,0.00079896800161805
2,168,13430,0.07615290299872868,0.04072451499814633,0.0016225365034188144,0.0009673550011939369
3,291,28673,0.28909991399996215,0.08551361349964282,0.003172421496856259,0.0011611579975578934
4,362,28774,0.4534383930003969,0.08726286850287579,0.0032164455005840864,0.0012490674998844042
5,441,30420,0.7594493180004065,0.09142677600175375,0.0034020194980257656,0.0013552140007959679
6,312,46638,0.3546353950005141,0.14143503299783333,0.005171290500584291,0.001409757500368869
7,435,80930,0.8194560694973916,0.24497415299993008,0.009039230997586856,0.0017970350018003955
