Domain ID,Our Fast Pagerank Value,Numpy Pagerank Value,Scipy Pagerank Value
48.0,0.0019635878169408896,0.0019635878149039895,0.0019531765533302775
49.0,0.0018487877706864731,0.0018487877720106786,0.0018536173763515828
50.0,0.0020331825144524625,0.00203318251205406,0.00202095476296297
51.0,0.001992229494212177,0.001992229494640889,0.001985421062583012
52.0,0.0018925104320668851,0.0018925104304511118,0.0018995016172693143
53.0,0.0020272500980388734,0.0020272500959476938,0.002027293224781126
54.0,0.002122530547880628,0.0021225305478954925,0.002120970928555848
55.0,0.0019829545482646723,0.0019829545482973965,0.001972450013083647
56.0,0.00162121379822236,0.0016212137985683025,0.0016229474445931514
57.0,0.0020068248597097387,0.002006824860067483,0.0020093065727962186
58.0,0.0021507405672275774,0.002150740568159811,0.0021390769752000468
59.0,0.0019099680158683385,0.001909968015944135,0.0019127298881667504
60.0,0.0022398117135944877,0.002239811714668033,0.002242420593617243
61.0,0.0019873059153709695,0.001987305913266241,0.0019764818409089197
62.0,0.0021892193171388716,0.002189219315138018,0.002198500119331772
63.0,0.002022501930617047,0.0020225019327638196,0.00203226072279507
64.0,0.002117725492186481,0.0021177254928834593,0.0021248547385602345
65.0,0.0019674801467530513,0.00196748014356921,0.0019805450660196878
66.0,0.0019069408713436808,0.0019069408714893507,0.0019043167589145732
67.0,0.0019479056371822646,0.0019479056358174783,0.0019371143556199837
68.0,0.0018632284079142909,0.001863228406573114,0.0018548113300452542
69.0,0.0020058579707889724,0.002005857970904061,0.0020109391576162345
70.0,0.0019279291643058943,0.0019279291628896606,0.0019134693710032282
71.0,0.0020724336667479345,0.00207243366742558,0.0020800984105879333
72.0,0.0019772221866537916,0.0019772221890453578,0.0019717819888482755
73.0,0.0021682014516284523,0.0021682014517576476,0.0021861184202296925
74.0,0.0019588754355620596,0.0019588754349085,0.0019754529560641163
75.0,0.0019397285361905606,0.0019397285368657152,0.0019352396474674374
76.0,0.0018468123961583312,0.001846812396761563,0.0018446498512031044
77.0,0.0019262994037045449,0.0019262994045266242,0.0019223252061922706
78.0,0.0019620999374154913,0.0019620999373251014,0.0019552681542108633
79.0,0.0019791515552904622,0.001979151553607613,0.0019946934755120105
80.0,0.0019753267738942706,0.0019753267756959098,0.001989855342164151
81.0,0.0018914884895379945,0.0018914884890289555,0.00188945308804137
82.0,0.0020817874126033064,0.002081787412785239,0.0020765691432495714
83.0,0.0018914211488433212,0.0018914211489582467,0.0019017623633959318
84.0,0.0023938844056077225,0.0023938844074899413,0.00238175529018347
85.0,0.0021860214555991203,0.0021860214554761176,0.0021881799736233796
86.0,0.0020964568073284207,0.0020964568070782346,0.0021005085100842557
87.0,0.002197515401381196,0.002197515401366609,0.0022045484353108084
88.0,0.0019001744695716575,0.0019001744671497494,0.001895330133859808
89.0,0.0018604109656711952,0.0018604109643869779,0.0018599856516550903
90.0,0.0021561478887957663,0.0021561478881480687,0.002151023480010843
91.0,0.0021317562154680165,0.002131756215951415,0.002121449904588556
92.0,0.001991091753969673,0.0019910917563519324,0.0019776670380251154
93.0,0.002075303270195005,0.0020753032709967265,0.00207589442052034
94.0,0.0020175639173451213,0.0020175639162491737,0.0020194394189054607
95.0,0.0021052440701511965,0.0021052440695081983,0.002103950990766742
96.0,0.0021875720847346135,0.0021875720835360674,0.002196704243023023
97.0,0.0020666774665741455,0.002066677469334594,0.0020678906191575206
98.0,0.0018436576268020147,0.0018436576249127215,0.0018422840471251992
99.0,0.0020466858420926473,0.0020466858411613154,0.002043763126655045
100.0,0.0019958272069319546,0.001995827203836384,0.001993250522832995
101.0,0.0019628521793997257,0.001962852179984363,0.001955821094822059
102.0,0.0019991472780839484,0.0019991472765595866,0.001997604319968231
103.0,0.002185962026766925,0.002185962027739938,0.0021763640867342887
104.0,0.0018127580725928424,0.0018127580723255666,0.001815380110381467
105.0,0.002219460554070005,0.0022194605553111507,0.002234939112126564
106.0,0.0021805319991572173,0.002180531999103971,0.0021950755265341595
107.0,0.0021466565275749124,0.002146656527870166,0.0021458327473152196
108.0,0.0018576434937134711,0.0018576434932636218,0.0018647152966345297
109.0,0.0021916831346179633,0.0021916831348450243,0.0021847075311582603
110.0,0.0020252048175309996,0.002025204816911343,0.0020244923298957888
111.0,0.0017410597339826163,0.0017410597327994436,0.0017547098300253815
112.0,0.00203664334160607,0.0020366433420737308,0.002021147594952145
113.0,0.001998918743375293,0.001998918741995367,0.0019936009876399693
114.0,0.0020753091281098673,0.002075309127518808,0.0020579188195816705
115.0,0.0019241461881972666,0.0019241461873550744,0.0019234912851855634
116.0,0.00214737882865745,0.0021473788270639335,0.002129842165668859
117.0,0.001883891894875179,0.0018838918960844833,0.0018897717827017681
118.0,0.0019265568183596475,0.0019265568184182217,0.0019166378505921958
119.0,0.0019440659450993775,0.0019440659467315133,0.0019493816657044165
120.0,0.0017392022465233684,0.0017392022470690037,0.0017596557976137486
121.0,0.0022399434570973126,0.0022399434560509816,0.0022539317314567747
122.0,0.002196403079120158,0.0021964030795578906,0.0021832811430650446
123.0,0.001966203522278805,0.0019662035200427304,0.001963060671906984
124.0,0.002164430616842684,0.002164430618518886,0.002184686457636954
125.0,0.002140518357977083,0.0021405183595551124,0.002138875621559655
126.0,0.002000381980567541,0.0020003819809854633,0.00197824973428163
