Domain ID,Our Fast PR Value,NetworkX Numpy PR Value,NetworkX Scipy PR Value,IGraph PR Value
0.0,0.0019945186508492536,0.0019945186490163487,0.0019889225805711924,0.0019945186490175934
1.0,0.0020515680281753463,0.0020515680275662073,0.0020503524468397437,0.0020515680275676254
2.0,0.0019849719557914654,0.001984971954458724,0.0019876288930093006,0.0019849719544601076
3.0,0.0020677468607350883,0.002067746862511996,0.002072518415268314,0.0020677468625134358
4.0,0.0021179890206993136,0.002117989021382647,0.0021151866740392327,0.0021179890213839985
5.0,0.002330283674486087,0.0023302836725962463,0.002331262155281742,0.002330283672597632
6.0,0.0021299342654487515,0.002129934267410115,0.002121471710982708,0.0021299342674115733
7.0,0.0019930899219672985,0.0019930899221793042,0.0020004212903744043,0.001993089922180736
8.0,0.0017184849530608138,0.001718484955176331,0.0017108162277785976,0.0017184849551777567
9.0,0.0023729781326785743,0.0023729781338885586,0.002371990738670966,0.0023729781338899325
10.0,0.0018972981307632279,0.001897298130307865,0.0018975143706478005,0.001897298130309301
11.0,0.002036168766301416,0.0020361687648203213,0.0020399327834787102,0.002036168764821515
12.0,0.0018327755194838282,0.001832775518771835,0.0018353845481857492,0.0018327755187732462
13.0,0.00185332612627206,0.0018533261260331763,0.0018521363213358493,0.0018533261260344957
14.0,0.002221081395061893,0.0022210813945409713,0.0022115538160320746,0.002221081394542302
15.0,0.0019824911705651205,0.0019824911679578424,0.001959541924490311,0.0019824911679590523
16.0,0.002020648677779681,0.0020206486768448158,0.0020287371611989,0.002020648676845984
17.0,0.0020369283625603497,0.0020369283636168145,0.0020566621295992856,0.0020369283636181663
18.0,0.0022303389358695283,0.002230338935261654,0.002235644274397012,0.0022303389352630065
19.0,0.0020334486822586335,0.0020334486824147625,0.002023771784945141,0.0020334486824160306
20.0,0.0019248231960250141,0.001924823197455065,0.0018979638007035602,0.0019248231974564143
21.0,0.0019497803455339972,0.0019497803455438977,0.0019485670264163544,0.0019497803455451421
22.0,0.0018800306098482721,0.0018800306096493273,0.00187074348394888,0.0018800306096505971
23.0,0.00191420875421103,0.0019142087530890448,0.001918386304010207,0.0019142087530904
24.0,0.002043030007463154,0.002043030007501303,0.0020432209796244537,0.002043030007502643
25.0,0.0019566909782399796,0.001956690979436082,0.001952978797490215,0.0019566909794373477
26.0,0.0016503917748117488,0.0016503917749011879,0.0016504489741648466,0.0016503917749024102
27.0,0.0020138675788650227,0.0020138675784875082,0.0020075030819514707,0.0020138675784888375
28.0,0.002157687029505531,0.0021576870292974344,0.0021743940119088212,0.002157687029298682
29.0,0.0019059836402489365,0.001905983640324355,0.001908138057563263,0.0019059836403255198
30.0,0.001930325405702445,0.0019303254062293606,0.0019422976105445498,0.0019303254062306525
31.0,0.001980369301586333,0.001980369301298532,0.00199387356209692,0.001980369301299768
32.0,0.0018353668540021396,0.001835366852657811,0.0018386024803004677,0.0018353668526590317
33.0,0.0017894061672501574,0.001789406166919271,0.00177736321478266,0.0017894061669204552
34.0,0.0021527616677562093,0.0021527616687990712,0.002150131690731254,0.002152761668800284
35.0,0.0024395747713793544,0.0024395747711994753,0.0024049266650650685,0.00243957477120066
36.0,0.002042431569160078,0.0020424315696446647,0.002034207576731345,0.0020424315696459996
37.0,0.0021686500512190674,0.0021686500493946375,0.0021652158030218307,0.0021686500493957126
38.0,0.001917986737836499,0.0019179867384078418,0.001927424648493446,0.0019179867384091051
39.0,0.0018954047300455703,0.0018954047310162823,0.0019029135050833879,0.0018954047310174257
40.0,0.0019736951715802996,0.001973695169052064,0.0019932876812713933,0.001973695169053267
41.0,0.0019447908222278223,0.00194479082086161,0.0019250173324990866,0.0019447908208627097
42.0,0.0018786444437850335,0.0018786444437162723,0.0018806126189548902,0.0018786444437175252
43.0,0.0015378818370209346,0.0015378818355891377,0.0015479382889957843,0.0015378818355903806
44.0,0.0019891357017375977,0.0019891357019218244,0.001980112813578275,0.0019891357019230335
45.0,0.001764202676638994,0.001764202676501555,0.0017485028104852916,0.0017642026765026858
